head,preposition,noun,occurrences,score
haben,in,Jahr,3,1.293
veröffentlichen,in,August,2,0.862
bringen,an,Tageslicht,2,0.862
erklären,zu,Freund,1,0.431
verlas,an,1.,1,0.431
werden,zu,Feind,1,0.431
antreten,in,Konsulat,1,0.431
scheitern,in,Frühjahr,1,0.431
haben,zu,Folge,1,0.431
stattfinden,an,Rand,1,0.431
führen,in,Jahrhundert,1,0.431
treffen,in,Konservatorium,1,0.431
führen,zu,Aufgabe,1,0.431
aufgeben,zu,Mal,1,0.431
verwenden,in,Jahrhundert,1,0.431
schaffen,in,Gesetz,1,0.431
schaffen,in,August,1,0.431
bauen,in,Teil,1,0.431
befinden,an,Bruch,1,0.431
möglich,in,Sommer,1,0.431
geben,in,Teil,1,0.431
kehren,in,Sommer,1,0.431
hoffen,in,Frühjahr,1,0.431
lockern,in,Monat,1,0.431
haben,in,Mittelalter,1,0.431
erscheinen,von,Jahrhundert,1,0.431
beginnen,in,Jahrhundert,1,0.431
tun,in,November,1,0.431
sichten,an,27.,1,0.431
erhalten,in,Jahr,1,0.431
nehmen,von,Team,1,0.431
zerstören,in,Jahr,1,0.431
geben,in,Reich,1,0.431
äußern,in,April,1,0.431
bleiben,an,Ende,1,0.431
überlassen,zu,Nutzung,1,0.431
finden,an,30.,1,0.431
passen,zu,Redekunst,1,0.431
bringen,zu,Lachen,1,0.431
herausholen,an,Ende,1,0.431
gezogt,zu,Rat,1,0.431
sinken,zu,Mal,1,0.431
zusätzlich,zu,Summit,1,0.431
erhalten,in,Gegenzug,1,0.431
mitteilen,in,Verlauf,1,0.431
geben,in,Gegensatz,1,0.431
sein,von,24,1,0.431
bekommen,von,Staat,1,0.431
fortfahren,in,Abschnitt,1,0.431
zurückweisen,von,Kassationshof,1,0.431
